time,method,parameter,x,y,vx,vy,gap,penetration,lambda_n,complementarity_error,ncp_residual,solver_success,residual_norm
0.11900000000000001,penalty,1000.0,0.0,0.9299566000000001,0.0,-1.1673900000000008,0.9299566000000001,0.0,0.0,0.0,0.0,True,0.0
0.12,penalty,1000.0,0.0,0.9287794000000001,0.0,-1.177200000000001,0.9287794000000001,0.0,0.0,0.0,0.0,True,0.0
0.121,penalty,1000.0,0.0,0.9275923900000002,0.0,-1.187010000000001,0.9275923900000002,0.0,0.0,0.0,0.0,True,0.0
0.122,penalty,1000.0,0.0,0.9263955700000002,0.0,-1.196820000000001,0.9263955700000002,0.0,0.0,0.0,0.0,True,0.0
0.123,penalty,1000.0,0.0,0.9251889400000002,0.0,-1.2066300000000012,0.9251889400000002,0.0,0.0,0.0,0.0,True,0.0
0.124,penalty,1000.0,0.0,0.9239725000000002,0.0,-1.2164400000000013,0.9239725000000002,0.0,0.0,0.0,0.0,True,0.0
0.125,penalty,1000.0,0.0,0.9227462500000002,0.0,-1.2262500000000014,0.9227462500000002,0.0,0.0,0.0,0.0,True,0.0
0.126,penalty,1000.0,0.0,0.9215101900000002,0.0,-1.2360600000000015,0.9215101900000002,0.0,0.0,0.0,0.0,True,0.0
0.127,penalty,1000.0,0.0,0.9202643200000002,0.0,-1.2458700000000016,0.9202643200000002,0.0,0.0,0.0,0.0,True,0.0
0.128,penalty,1000.0,0.0,0.9190086400000003,0.0,-1.2556800000000017,0.9190086400000003,0.0,0.0,0.0,0.0,True,0.0
0.129,penalty,1000.0,0.0,0.9177431500000003,0.0,-1.2654900000000018,0.9177431500000003,0.0,0.0,0.0,0.0,True,0.0
0.13,penalty,1000.0,0.0,0.9164678500000003,0.0,-1.2753000000000019,0.9164678500000003,0.0,0.0,0.0,0.0,True,0.0
0.131,penalty,1000.0,0.0,0.9151827400000003,0.0,-1.285110000000002,0.9151827400000003,0.0,0.0,0.0,0.0,True,0.0
0.132,penalty,1000.0,0.0,0.9138878200000004,0.0,-1.294920000000002,0.9138878200000004,0.0,0.0,0.0,0.0,True,0.0
0.133,penalty,1000.0,0.0,0.9125830900000004,0.0,-1.3047300000000022,0.9125830900000004,0.0,0.0,0.0,0.0,True,0.0
0.134,penalty,1000.0,0.0,0.9112685500000004,0.0,-1.3145400000000023,0.9112685500000004,0.0,0.0,0.0,0.0,True,0.0
0.135,penalty,1000.0,0.0,0.9099442000000004,0.0,-1.3243500000000024,0.9099442000000004,0.0,0.0,0.0,0.0,True,0.0
0.136,penalty,1000.0,0.0,0.9086100400000005,0.0,-1.3341600000000025,0.9086100400000005,0.0,0.0,0.0,0.0,True,0.0
0.137,penalty,1000.0,0.0,0.9072660700000005,0.0,-1.3439700000000026,0.9072660700000005,0.0,0.0,0.0,0.0,True,0.0
0.138,penalty,1000.0,0.0,0.9059122900000005,0.0,-1.3537800000000026,0.9059122900000005,0.0,0.0,0.0,0.0,True,0.0
0.139,penalty,1000.0,0.0,0.9045487000000005,0.0,-1.3635900000000027,0.9045487000000005,0.0,0.0,0.0,0.0,True,0.0
0.14,penalty,1000.0,0.0,0.9031753000000006,0.0,-1.3734000000000028,0.9031753000000006,0.0,0.0,0.0,0.0,True,0.0
0.14100000000000001,penalty,1000.0,0.0,0.9017920900000006,0.0,-1.383210000000003,0.9017920900000006,0.0,0.0,0.0,0.0,True,0.0
0.14200000000000002,penalty,1000.0,0.0,0.9003990700000006,0.0,-1.393020000000003,0.9003990700000006,0.0,0.0,0.0,0.0,True,0.0
0.14300000000000002,penalty,1000.0,0.0,0.8989962400000007,0.0,-1.4028300000000031,0.8989962400000007,0.0,0.0,0.0,0.0,True,0.0
0.14400000000000002,penalty,1000.0,0.0,0.8975836000000007,0.0,-1.4126400000000032,0.8975836000000007,0.0,0.0,0.0,0.0,True,0.0
0.145,penalty,1000.0,0.0,0.8961611500000007,0.0,-1.4224500000000033,0.8961611500000007,0.0,0.0,0.0,0.0,True,0.0
0.146,penalty,1000.0,0.0,0.8947288900000008,0.0,-1.4322600000000034,0.8947288900000008,0.0,0.0,0.0,0.0,True,0.0
0.147,penalty,1000.0,0.0,0.8932868200000008,0.0,-1.4420700000000035,0.8932868200000008,0.0,0.0,0.0,0.0,True,0.0
0.148,penalty,1000.0,0.0,0.8918349400000009,0.0,-1.4518800000000036,0.8918349400000009,0.0,0.0,0.0,0.0,True,0.0
0.149,penalty,1000.0,0.0,0.8903732500000009,0.0,-1.4616900000000037,0.8903732500000009,0.0,0.0,0.0,0.0,True,0.0
0.15,penalty,1000.0,0.0,0.8889017500000009,0.0,-1.4715000000000038,0.8889017500000009,0.0,0.0,0.0,0.0,True,0.0
0.151,penalty,1000.0,0.0,0.887420440000001,0.0,-1.481310000000004,0.887420440000001,0.0,0.0,0.0,0.0,True,0.0
