time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,contact_count,contact_force_x,contact_force_y,contact_force_z,contact_torque_x,contact_torque_y,contact_torque_z
1.14000000,-0.00000054,0.48152254,-0.00000054,-0.00000159,0.30513848,-0.00000159,1,0.00234804,5520.50202894,0.00234804,-0.00000474,0.00000000,0.00000474
1.15000000,-0.00000055,0.48451313,-0.00000055,-0.00000156,0.28665300,-0.00000156,1,0.00129788,3190.00161010,0.00129788,-0.00000267,0.00000000,0.00000267
1.16000000,-0.00000057,0.48713707,-0.00000057,-0.00000154,0.23740631,-0.00000154,1,0.00083694,2150.72129303,0.00083694,-0.00000175,0.00000000,0.00000175
1.17000000,-0.00000058,0.48919818,-0.00000058,-0.00000152,0.17719297,-0.00000152,1,0.00071836,1930.06191230,0.00071836,-0.00000153,0.00000000,0.00000153
1.18000000,-0.00000060,0.49065455,-0.00000060,-0.00000151,0.11784834,-0.00000151,1,0.00077257,2170.38799194,0.00077257,-0.00000168,0.00000000,0.00000168
1.19000000,-0.00000061,0.49155162,-0.00000061,-0.00000149,0.06569161,-0.00000149,1,0.00089929,2642.23943127,0.00089929,-0.00000200,0.00000000,0.00000200
1.20000000,-0.00000063,0.49197889,-0.00000063,-0.00000147,0.02367417,-0.00000147,1,0.00104431,3210.51883567,0.00104431,-0.00000238,0.00000000,0.00000238
1.21000000,-0.00000064,0.49204410,-0.00000064,-0.00000145,-0.00723126,-0.00000145,1,0.00117872,3794.30933295,0.00117872,-0.00000275,0.00000000,0.00000275
1.22000000,-0.00000066,0.49185774,-0.00000066,-0.00000143,-0.02731213,-0.00000143,1,0.00128591,4338.23735165,0.00128591,-0.00000308,0.00000000,0.00000308
1.23000000,-0.00000067,0.49152245,-0.00000067,-0.00000140,-0.03775900,-0.00000140,1,0.00135641,4801.61366376,0.00135641,-0.00000334,0.00000000,0.00000334
1.24000000,-0.00000068,0.49112540,-0.00000068,-0.00000138,-0.04039390,-0.00000138,1,0.00138687,5158.62362243,0.00138687,-0.00000352,0.00000000,0.00000352
1.25000000,-0.00000070,0.49073355,-0.00000070,-0.00000135,-0.03737062,-0.00000135,1,0.00137931,5399.76705991,0.00137931,-0.00000362,0.00000000,0.00000362
1.26000000,-0.00000071,0.49039198,-0.00000071,-0.00000132,-0.03086154,-0.00000132,1,0.00133997,5531.32583328,0.00133997,-0.00000364,0.00000000,0.00000364
1.27000000,-0.00000072,0.49012513,-0.00000072,-0.00000130,-0.02279087,-0.00000130,1,0.00127738,5571.57194481,0.00127738,-0.00000360,0.00000000,0.00000360
1.28000000,-0.00000074,0.48994034,-0.00000074,-0.00000128,-0.01466361,-0.00000128,1,0.00120036,5544.92671674,0.00120036,-0.00000353,0.00000000,0.00000353
1.29000000,-0.00000075,0.48983242,-0.00000075,-0.00000125,-0.00749881,-0.00000125,1,0.00111662,5476.91593256,0.00111662,-0.00000343,0.00000000,0.00000343
1.30000000,-0.00000076,0.48978845,-0.00000076,-0.00000123,-0.00185378,-0.00000123,1,0.00103197,5390.06509874,0.00103197,-0.00000332,0.00000000,0.00000332
